Prenom;Nom;Email;Telephone;Pays;DateInscription
MARIE;Dupont;marie.dupont@Bluewin.CH;+41 79 100 45 67;CH;28/06/2026
jean;Müller ;JEAN.MULLER@GMAIL.COM;079 117 45 67;Suisse;2026-06-28
  Luca ; Bernasconi; luca.bernasconi@bluewin.ch;0041 79 1344567;suisse;28.06.26
Sophie;DUBOIS;sophie.dubois@sunrise.ch ;+41791514567;Switzerland;06/28/2026
Anna ;fontana;anna.fontana@Bluewin.CH;(079) 168-45-67; CH ;1.7.2026
 Thomas;  Moreau ;thomas.moreau@sunrise.ch;079.185.45.67;CHE;15-03-2026
ELENA;Marti;ELENA.MARTI@GMAIL.COM;+33 6 202 34 56;FR;2026/6/3
marco;Blanc ; marco.blanc@GMAIL.COM;+49 151 2195678;France;03 mai 2026
  Julie ; Steiner;julie.steiner@sunrise.ch ;41 79 236 4567;france;12/13/2025
David;TANNER;david.tanner@Bluewin.CH;+41 79 253 45 67;DE;2026.06.28
Nadia ;da silva;nadia.dasilva@sunrise.ch;079 270 45 67;Allemagne;28/06/2026
 Pierre;  Aebischer ;PIERRE.AEBISCHER@GMAIL.COM;0041 79 2874567;Germany;2026-06-28
LAURA;Favre; laura.favre@GMAIL.COM;+41793044567;IT;28.06.26
ahmed;Rossi ;ahmed.rossi@GMAIL.COM ;(079) 321-45-67;Italie;06/28/2026
  Chloé ; Schmid;chloe.schmid@Bluewin.CH;079.338.45.67;Suisse ;1.7.2026
Felix;MEIER;felix.meier@GMAIL.COM;+33 6 355 34 56;ch;15-03-2026
Sara ;keller;SARA.KELLER@GMAIL.COM;+49 151 3725678;CH;2026/6/3
 Nicolas;  Brunner ; nicolas.brunner@bluewin.ch;41 79 389 4567;Suisse;03 mai 2026
EMMA;Weber;emma.weber@hotmail.com ;+41 79 406 45 67;suisse;12/13/2025
yann;Roth ;yann.roth@gmail.com;079 423 45 67;Switzerland;2026.06.28
  Léa ; Gerber;lea.gerber@hotmail.com;0041 79 4404567; CH ;28/06/2026
Tobias;LOPEZ;TOBIAS.LOPEZ@BLUEWIN.CH;+41794574567;CHE;2026-06-28
Inès ;o'brien; ines.obrien@GMAIL.COM;(079) 474-45-67;FR;28.06.26
 Mathis;  Nguyen ;mathis.nguyen@sunrise.ch ;079.491.45.67;France;06/28/2026
NOAH;Crettaz;noah.crettaz@Bluewin.CH;+33 6 508 34 56;france;1.7.2026
marie;Dupont ;marie.dupont@Bluewin.CH;+49 151 5255678;DE;15-03-2026
  Jean ; Müller;JEAN.MULLER@GMAIL.COM;41 79 542 4567;Allemagne;2026/6/3
Luca;BERNASCONI; luca.bernasconi@bluewin.ch;+41 79 559 45 67;Germany;03 mai 2026
Sophie ;dubois;sophie.dubois@sunrise.ch ;079 576 45 67;IT;12/13/2025
 Anna;  Fontana ;anna.fontana@Bluewin.CH;0041 79 5934567;Italie;2026.06.28
THOMAS;Moreau;thomas.moreau@sunrise.ch;+41796104567;Suisse ;28/06/2026
elena;Marti ;ELENA.MARTI@GMAIL.COM;(079) 627-45-67;ch;2026-06-28
  Marco ; Blanc; marco.blanc@GMAIL.COM;079.644.45.67;CH;28.06.26
Julie;STEINER;julie.steiner@sunrise.ch ;+33 6 661 34 56;Suisse;06/28/2026
David ;tanner;david.tanner@Bluewin.CH;+49 151 6785678;suisse;1.7.2026
 Nadia;  Da Silva ;nadia.dasilva@sunrise.ch;41 79 695 4567;Switzerland;15-03-2026
PIERRE;Aebischer;PIERRE.AEBISCHER@GMAIL.COM;+41 79 712 45 67; CH ;2026/6/3
laura;Favre ; laura.favre@GMAIL.COM;079 729 45 67;CHE;03 mai 2026
  Ahmed ; Rossi;ahmed.rossi@GMAIL.COM ;0041 79 7464567;FR;12/13/2025
Chloé;SCHMID;chloe.schmid@Bluewin.CH;+41797634567;France;2026.06.28
Felix ;meier;felix.meier@GMAIL.COM;(079) 780-45-67;france;28/06/2026
 Sara;  Keller ;SARA.KELLER@GMAIL.COM;079.797.45.67;DE;2026-06-28
NICOLAS;Brunner; nicolas.brunner@bluewin.ch;+33 6 814 34 56;Allemagne;28.06.26
emma;Weber ;emma.weber@hotmail.com ;+49 151 8315678;Germany;06/28/2026
  Yann ; Roth;yann.roth@gmail.com;41 79 848 4567;IT;1.7.2026
Léa;GERBER;lea.gerber@hotmail.com;+41 79 865 45 67;Italie;15-03-2026
Anna ;fontana;anna.fontana@Bluewin.CH;(079) 168-45-67; CH ;1.7.2026
 Pierre;  Aebischer ;PIERRE.AEBISCHER@GMAIL.COM;0041 79 2874567;Germany;2026-06-28
marco;Blanc ; MARCO.BLANC@GMAIL.COM;079 219 45 67;France;03 mai 2026
Léa; Gerber;lea.gerber@hotmail.com;0041 79 4404567; CH ;2026-09-01
